Energy	E1_1 M1_1	E1_1 M1_2	E1_1 M1_3	E1_2 M1_1	E1_2 M1_2	E1_2 M1_3	E1_3 M1_1	E1_3 M1_2	E1_3 M1_3	E1_4 M1_1	E1_4 M1_2	E1_4 M1_3	E1_5 M1_1	E1_5 M1_2	E1_5 M1_3	E1_6 M1_1	E1_6 M1_2	E1_6 M1_3	E1_7 M1_1	E1_7 M1_2	E1_7 M1_3	E1_8 M1_1	E1_8 M1_2	E1_8 M1_3	E1_9 M1_1	E1_9 M1_2	E1_9 M1_3
2600.0	4.74552e-09	3.4351960000000003e-09	6.2481600000000005e-09	1.16504e-08	1.0340076e-08	1.315304e-08	2.58942e-09	1.279096e-09	4.09206e-09	3.08035e-09	1.770026e-09	4.58299e-09	7.41792e-09	6.107596e-09	8.92056e-09	4.14499e-09	2.834666e-09	5.64763e-09	3.6971000000000004e-09	2.3867760000000003e-09	5.19974e-09	4.11435e-09	2.8040260000000003e-09	5.61699e-09	3.4909400000000004e-09	2.1806160000000002e-09	4.99358e-09
2800.0	4.8254e-09	3.386298e-09	6.40139e-09	1.264874e-08	1.1209638e-08	1.422473e-08	2.91158e-09	1.472478e-09	4.48757e-09	3.41292e-09	1.973818e-09	4.98891e-09	7.62765e-09	6.188548e-09	9.203639999999999e-09	4.44945e-09	3.010348e-09	6.02544e-09	3.82433e-09	2.385228e-09	5.40032e-09	4.58742e-09	3.148318e-09	6.16341e-09	3.87187e-09	2.432768e-09	5.44786e-09
3000.0	4.9187099999999994e-09	3.3436629999999997e-09	6.57673e-09	1.3671780000000001e-08	1.2096733e-08	1.53298e-08	3.25763e-09	1.6825830000000001e-09	4.91565e-09	3.80061e-09	2.225563e-09	5.45863e-09	7.86182e-09	6.286773e-09	9.51984e-09	4.8096099999999995e-09	3.2345629999999998e-09	6.46763e-09	4.00954e-09	2.4344929999999996e-09	5.66756e-09	5.1031e-09	3.5280529999999997e-09	6.76112e-09	4.2771099999999995e-09	2.7020629999999998e-09	5.93513e-09
3200.0	5.027300000000001e-09	3.308267e-09	6.61015e-09	1.472188e-08	1.3002847e-08	1.630473e-08	3.63042e-09	1.9113870000000002e-09	5.21327e-09	4.34166e-09	2.622627e-09	5.9245099999999994e-09	8.1219e-09	6.402867e-09	9.70475e-09	5.27259e-09	3.5535569999999997e-09	6.85544e-09	4.254600000000001e-09	2.535567e-09	5.83745e-09	5.66572e-09	3.946687e-09	7.2485699999999995e-09	4.72324e-09	3.0042069999999998e-09	6.306089999999999e-09
3400.0	5.15323e-09	3.2811829999999998e-09	6.3839200000000004e-09	1.58018e-08	1.3929752999999999e-08	1.703249e-08	4.0312e-09	2.159153e-09	5.26189e-09	4.84133e-09	2.969283e-09	6.07202e-09	8.40958e-09	6.537533e-09	9.64027e-09	5.73963e-09	3.867583e-09	6.97032e-09	4.53232e-09	2.660273e-09	5.76301e-09	6.2779600000000005e-09	4.405913e-09	7.50865e-09	5.19111e-09	3.319063e-09	6.4218e-09
3600.0	5.29872e-09	3.263516e-09	5.973630000000001e-09	1.691436e-08	1.4879156e-08	1.758927e-08	4.46401e-09	2.428806e-09	5.13892e-09	5.35047e-09	3.315266e-09	6.02538e-09	8.72676e-09	6.691556e-09	9.401670000000001e-09	6.22093e-09	4.185726e-09	6.89584e-09	4.83124e-09	2.7960359999999998e-09	5.50615e-09	6.944259999999999e-09	4.909056e-09	7.61917e-09	5.69591e-09	3.6607060000000002e-09	6.37082e-09
3800.0	5.4662399999999995e-09	3.256497e-09	5.54621e-09	1.806274e-08	1.5852997e-08	1.814271e-08	4.93043e-09	2.720687e-09	5.0104e-09	5.97908e-09	3.7693370000000004e-09	6.05905e-09	9.07557e-09	6.865827e-09	9.15554e-09	6.78576e-09	4.576017e-09	6.86573e-09	5.14782e-09	2.9380769999999997e-09	5.22779e-09	7.66906e-09	5.459317e-09	7.74903e-09	6.22909e-09	4.019347e-09	6.30906e-09
4000.0	5.65849e-09	3.2614239999999997e-09	5.20165e-09	1.9250430000000002e-08	1.6853364000000002e-08	1.879359e-08	5.43397e-09	3.0369039999999998e-09	4.97713e-09	6.65782e-09	4.260754e-09	6.20098e-09	9.45837e-09	7.0613040000000005e-09	9.00153e-09	7.38675e-09	4.9896840000000005e-09	6.92991e-09	5.56466e-09	3.167594e-09	5.10782e-09	8.45515e-09	6.058084e-09	7.99831e-09	6.8018500000000005e-09	4.404784e-09	6.34501e-09
4500.0	6.2677e-09	3.335543e-09	4.7778899999999995e-09	2.241681e-08	1.9484653e-08	2.0927e-08	6.8808e-09	3.948643e-09	5.39099e-09	8.22002e-09	5.287863e-09	6.7302100000000005e-09	1.0582519999999999e-08	7.650363e-09	9.09271e-09	8.80454e-09	5.872383e-09	7.31473e-09	6.29724e-09	3.365083e-09	4.807429999999999e-09	1.072501e-08	7.792853e-09	9.2352e-09	8.40104e-09	5.468883e-09	6.91123e-09
5000.0	7.10787e-09	3.519126e-09	4.8236899999999995e-09	2.59223e-08	2.2333556e-08	2.3638119999999998e-08	8.65525e-09	5.066506e-09	6.3710700000000004e-09	1.000055e-08	6.411806000000001e-09	7.71637e-09	1.19889e-08	8.400156000000001e-09	9.70472e-09	1.043334e-08	6.844596e-09	8.14916e-09	7.32221e-09	3.733466000000001e-09	5.03803e-09	1.3498e-08	9.909256e-09	1.1213820000000001e-08	1.0336689999999999e-08	6.747946e-09	8.05251e-09
