 Parameters used:

First geneneration spectra extracted for
excitation energies between 10284.-   24. keV
corresponding to y-channels   171 -    0
 Number of spectra=  172
 Ax0 =    23.5 Ax1 =    60.0 Ay0 =    23.5 Ay1 =    60.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:       50.0 keV (ch=   0)
 Upper threshold for statistical gammas:   50.0 keV (ch=   0)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
 37  2244.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 36  2184.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 35  2124.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 34  2064.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 33  2004.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 32  1944.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 31  1884.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 30  1824.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 29  1764.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 28  1704.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 27  1644.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 26  1584.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 25  1524.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 24  1464.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 23  1404.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 22  1344.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 21  1284.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 20  1224.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 19  1164.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 18  1104.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 17  1044.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 16   984.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 15   924.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 14   864.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 13   804.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 12   744.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 11   684.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
 10   624.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  9   564.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  8   504.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  7   444.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  6   384.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  5   324.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  4   264.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  3   204.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  2   144.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  1    84.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00
  0    24.        0.        0.        0. 0.00       0  0.00  0.00  0.00  0.00  0.00

Iteration number:   2
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
171 10284.     7479.     1179.     6300. 1.85       0  1.15  1.19  1.85  1.19  1.79
170 10224.    13627.     2389.    11238. 1.81       0  1.15  1.21  1.81  1.21  1.75
169 10164.    21678.     3739.    17940. 1.79       0  1.15  1.21  1.79  1.21  1.74
168 10104.    30240.     5539.    24702. 1.78       0  1.15  1.22  1.78  1.22  1.73
167 10044.    39030.     6540.    32490. 1.85       0  1.15  1.20  1.85  1.20  1.79
166  9984.    43656.     7042.    36614. 1.94       0  1.15  1.19  1.94  1.19  1.88
165  9924.    42292.     6070.    36222. 2.03       0  1.15  1.17  2.03  1.17  1.97
