                    ************************************************************************************************
                    *  Z= 28 A= 58: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 58 and ldmodel= 2  *
   2.25  0.645  2.35E+00 2.27E+00 1.08E+01 3.05E-01 6.93E-01 6.62E-01 4.01E-01 1.69E-01 5.13E-02 1.14E-02 1.86E-03 2.27E-04 2.06E-05 1.40E-06 7.14E-08 2.73E-09 7.87E-11 1.70E-12 2.78E-14 3.42E-16 3.17E-18 2.21E-20 1.17E-22 4.64E-25 1.39E-27 3.16E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.680  3.07E+00 2.86E+00 1.36E+01 3.85E-01 8.75E-01 8.35E-01 5.06E-01 2.13E-01 6.47E-02 1.43E-02 2.35E-03 2.86E-04 2.60E-05 1.77E-06 9.01E-08 3.45E-09 9.93E-11 2.15E-12 3.51E-14 4.31E-16 3.99E-18 2.79E-20 1.47E-22 5.85E-25 1.76E-27 3.98E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.713  3.97E+00 3.60E+00 1.71E+01 4.85E-01 1.10E+00 1.05E+00 6.37E-01 2.68E-01 8.14E-02 1.80E-02 2.96E-03 3.60E-04 3.27E-05 2.22E-06 1.13E-07 4.34E-09 1.25E-10 2.71E-12 4.41E-14 5.42E-16 5.03E-18 3.51E-20 1.85E-22 7.36E-25 2.21E-27 5.01E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.744  5.10E+00 4.52E+00 2.15E+01 6.09E-01 1.38E+00 1.32E+00 8.00E-01 3.37E-01 1.02E-01 2.27E-02 3.71E-03 4.52E-04 4.11E-05 2.79E-06 1.42E-07 5.45E-09 1.57E-10 3.40E-12 5.54E-14 6.81E-16 6.31E-18 4.41E-20 2.32E-22 9.25E-25 2.78E-27 6.30E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.775  6.50E+00 5.60E+00 2.69E+01 7.38E-01 1.69E+00 1.63E+00 1.01E+00 4.35E-01 1.36E-01 3.13E-02 5.34E-03 6.84E-04 6.56E-05 4.74E-06 2.59E-07 1.07E-08 3.32E-10 7.84E-12 1.40E-13 1.90E-15 1.95E-17 1.52E-19 9.03E-22 4.06E-24 1.39E-26 3.60E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.804  8.18E+00 6.74E+00 3.36E+01 8.27E-01 1.93E+00 1.93E+00 1.27E+00 5.92E-01 2.04E-01 5.28E-02 1.04E-02 1.55E-03 1.78E-04 1.56E-05 1.06E-06 5.50E-08 2.21E-09 6.87E-11 1.65E-12 3.06E-14 4.39E-16 4.87E-18 4.18E-20 2.78E-22 1.44E-24 5.73E-27 1.77E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.832  1.02E+01 8.12E+00 4.19E+01 9.31E-01 2.21E+00 2.29E+00 1.58E+00 7.90E-01 2.96E-01 8.49E-02 1.88E-02 3.21E-03 4.29E-04 4.47E-05 3.64E-06 2.33E-07 1.17E-08 4.59E-10 1.42E-11 3.46E-13 6.62E-15 9.97E-17 1.18E-18 1.11E-20 8.13E-23 4.72E-25 2.16E-27 7.77E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.860  1.27E+01 9.78E+00 5.21E+01 1.05E+00 2.53E+00 2.71E+00 1.95E+00 1.04E+00 4.19E-01 1.31E-01 3.21E-02 6.20E-03 9.45E-04 1.14E-04 1.10E-05 8.37E-07 5.09E-08 2.47E-09 9.53E-11 2.94E-12 7.24E-14 1.42E-15 2.24E-17 2.82E-19 2.83E-21 2.27E-23 1.46E-25 7.52E-28 3.09E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.25  0.886  1.56E+01 1.18E+01 6.46E+01 1.19E+00 2.91E+00 3.20E+00 2.40E+00 1.34E+00 5.78E-01 1.96E-01 5.26E-02 1.13E-02 1.93E-03 2.66E-04 2.95E-05 2.63E-06 1.90E-07 1.10E-08 5.19E-10 1.98E-11 6.08E-13 1.51E-14 3.05E-16 4.98E-18 6.59E-20 7.06E-22 6.13E-24 4.32E-26 2.46E-28 1.14E-30 1.00E-30 1.00E-30 1.00E-30
   4.50  0.912  1.91E+01 1.42E+01 8.00E+01 1.36E+00 3.35E+00 3.76E+00 2.92E+00 1.71E+00 7.82E-01 2.84E-01 8.28E-02 1.95E-02 3.71E-03 5.74E-04 7.22E-05 7.42E-06 6.22E-07 4.26E-08 2.38E-09 1.09E-10 4.09E-12 1.26E-13 3.16E-15 6.51E-17 1.10E-18 1.52E-20 1.72E-22 1.60E-24 1.22E-26 7.66E-29 1.00E-30 1.00E-30 1.00E-30
   4.75  0.937  2.34E+01 1.70E+01 9.89E+01 1.55E+00 3.86E+00 4.43E+00 3.55E+00 2.16E+00 1.04E+00 4.03E-01 1.26E-01 3.23E-02 6.75E-03 1.16E-03 1.64E-04 1.90E-05 1.83E-06 1.45E-07 9.46E-09 5.12E-10 2.29E-11 8.47E-13 2.59E-14 6.58E-16 1.38E-17 2.40E-19 3.46E-21 4.13E-23 4.09E-25 3.35E-27 2.28E-29 1.00E-30 1.00E-30
   5.00  0.961  2.85E+01 2.05E+01 1.22E+02 1.77E+00 4.45E+00 5.20E+00 4.29E+00 2.72E+00 1.37E+00 5.61E-01 1.88E-01 5.16E-02 1.17E-02 2.21E-03 3.46E-04 4.51E-05 4.88E-06 4.41E-07 3.32E-08 2.08E-09 1.09E-10 4.79E-12 1.75E-13 5.35E-15 1.37E-16 2.92E-18 5.22E-20 7.81E-22 9.76E-24 1.02E-25 8.93E-28 6.53E-30 1.00E-30
   5.50  1.008  4.32E+01 2.95E+01 1.84E+02 2.32E+00 5.93E+00 7.17E+00 6.19E+00 4.19E+00 2.29E+00 1.03E+00 3.86E-01 1.21E-01 3.18E-02 7.05E-03 1.32E-03 2.08E-04 2.78E-05 3.15E-06 3.02E-07 2.46E-08 1.69E-09 9.92E-11 4.93E-12 2.08E-13 7.47E-15 2.28E-16 5.89E-18 1.30E-19 2.43E-21 3.86E-23 5.22E-25 6.01E-27 5.88E-29
   6.00  1.053  6.44E+01 4.23E+01 2.76E+02 3.06E+00 7.92E+00 9.83E+00 8.85E+00 6.31E+00 3.69E+00 1.80E+00 7.42E-01 2.59E-01 7.68E-02 1.95E-02 4.22E-03 7.83E-04 1.25E-04 1.70E-05 2.00E-06 2.01E-07 1.74E-08 1.30E-09 8.35E-11 4.61E-12 2.19E-13 8.99E-15 3.17E-16 9.63E-18 2.52E-19 5.69E-21 1.11E-22 1.85E-24 2.68E-26
   6.50  1.096  9.46E+01 6.05E+01 4.11E+02 4.04E+00 1.06E+01 1.34E+01 1.25E+01 9.34E+00 5.79E+00 3.03E+00 1.35E+00 5.15E-01 1.69E-01 4.81E-02 1.18E-02 2.51E-03 4.63E-04 7.42E-05 1.03E-05 1.25E-06 1.31E-07 1.20E-08 9.56E-10 6.63E-11 4.00E-12 2.11E-13 9.65E-15 3.85E-16 1.34E-17 4.06E-19 1.07E-20 2.47E-22 4.97E-24
   7.00  1.137  1.38E+02 8.62E+01 6.08E+02 5.35E+00 1.42E+01 1.83E+01 1.76E+01 1.36E+01 8.87E+00 4.91E+00 2.34E+00 9.68E-01 3.47E-01 1.09E-01 2.97E-02 7.10E-03 1.49E-03 2.73E-04 4.39E-05 6.21E-06 7.71E-07 8.41E-08 8.06E-09 6.79E-10 5.03E-11 3.28E-12 1.88E-13 9.47E-15 4.20E-16 1.64E-17 5.64E-19 1.71E-20 4.55E-22
   7.50  1.177  1.99E+02 1.22E+02 8.93E+02 7.09E+00 1.89E+01 2.49E+01 2.45E+01 1.97E+01 1.33E+01 7.78E+00 3.93E+00 1.74E+00 6.73E-01 2.29E-01 6.87E-02 1.82E-02 4.25E-03 8.77E-04 1.60E-04 2.59E-05 3.71E-06 4.71E-07 5.30E-08 5.29E-09 4.68E-10 3.67E-11 2.55E-12 1.58E-13 8.64E-15 4.20E-16 1.81E-17 6.95E-19 2.37E-20
   8.00  1.216  2.85E+02 1.73E+02 1.30E+03 9.41E+00 2.53E+01 3.38E+01 3.40E+01 2.81E+01 1.98E+01 1.20E+01 6.41E+00 3.01E+00 1.24E+00 4.56E-01 1.48E-01 4.29E-02 1.10E-02 2.52E-03 5.15E-04 9.38E-05 1.52E-05 2.21E-06 2.86E-07 3.30E-08 3.41E-09 3.15E-10 2.60E-11 1.91E-12 1.26E-13 7.43E-15 3.91E-16 1.84E-17 7.77E-19
   8.50  1.253  4.07E+02 2.43E+02 1.89E+03 1.25E+01 3.37E+01 4.57E+01 4.68E+01 3.97E+01 2.89E+01 1.83E+01 1.02E+01 5.04E+00 2.21E+00 8.65E-01 3.02E-01 9.44E-02 2.64E-02 6.63E-03 1.49E-03 3.01E-04 5.47E-05 8.91E-06 1.30E-06 1.72E-07 2.03E-08 2.17E-09 2.07E-10 1.79E-11 1.39E-12 9.67E-14 6.07E-15 3.43E-16 1.75E-17
   9.00  1.290  5.77E+02 3.41E+02 2.73E+03 1.65E+01 4.49E+01 6.16E+01 6.42E+01 5.58E+01 4.17E+01 2.74E+01 1.59E+01 8.22E+00 3.80E+00 1.57E+00 5.86E-01 1.96E-01 5.93E-02 1.61E-02 3.96E-03 8.77E-04 1.75E-04 3.17E-05 5.19E-06 7.67E-07 1.02E-07 1.24E-08 1.36E-09 1.34E-10 1.20E-11 9.76E-13 7.16E-14 4.76E-15 2.87E-16
   9.50  1.325  8.16E+02 4.76E+02 3.92E+03 2.19E+01 5.98E+01 8.28E+01 8.77E+01 7.77E+01 5.97E+01 4.04E+01 2.43E+01 1.31E+01 6.35E+00 2.77E+00 1.09E+00 3.89E-01 1.26E-01 3.67E-02 9.75E-03 2.35E-03 5.13E-04 1.02E-04 1.84E-05 3.01E-06 4.48E-07 6.07E-08 7.49E-09 8.39E-10 8.56E-11 7.94E-12 6.70E-13 5.15E-14 3.60E-15
  10.00  1.359  1.15E+03 6.63E+02 5.59E+03 2.89E+01 7.95E+01 1.11E+02 1.19E+02 1.08E+02 8.47E+01 5.89E+01 3.67E+01 2.05E+01 1.04E+01 4.73E+00 1.96E+00 7.40E-01 2.54E-01 7.92E-02 2.25E-02 5.84E-03 1.38E-03 2.98E-04 5.88E-05 1.06E-05 1.74E-06 2.61E-07 3.58E-08 4.49E-09 5.14E-10 5.38E-11 5.15E-12 4.51E-13 3.61E-14
  11.00  1.426  2.42E+03 1.27E+03 1.12E+04 5.04E+01 1.40E+02 1.98E+02 2.18E+02 2.03E+02 1.66E+02 1.22E+02 8.00E+01 4.77E+01 2.59E+01 1.28E+01 5.81E+00 2.41E+00 9.19E-01 3.21E-01 1.03E-01 3.04E-02 8.23E-03 2.05E-03 4.72E-04 9.96E-05 1.94E-05 3.47E-06 5.73E-07 8.71E-08 1.22E-08 1.57E-09 1.87E-10 2.05E-11 2.08E-12
  12.00  1.489  4.81E+03 2.39E+03 2.21E+04 8.72E+01 2.43E+02 3.50E+02 3.93E+02 3.76E+02 3.18E+02 2.42E+02 1.67E+02 1.05E+02 6.06E+01 3.21E+01 1.57E+01 7.04E+00 2.92E+00 1.12E+00 3.98E-01 1.31E-01 3.97E-02 1.12E-02 2.91E-03 7.04E-04 1.58E-04 3.27E-05 6.30E-06 1.12E-06 1.86E-07 2.86E-08 4.08E-09 5.39E-10 6.62E-11
  13.00  1.550  9.32E+03 4.51E+03 4.29E+04 1.56E+02 4.36E+02 6.32E+02 7.18E+02 6.99E+02 6.03E+02 4.69E+02 3.32E+02 2.16E+02 1.29E+02 7.09E+01 3.61E+01 1.70E+01 7.42E+00 3.01E+00 1.13E+00 3.94E-01 1.28E-01 3.86E-02 1.08E-02 2.82E-03 6.86E-04 1.55E-04 3.26E-05 6.38E-06 1.16E-06 1.98E-07 3.12E-08 4.60E-09 6.32E-10
  14.00  1.608  1.77E+04 8.42E+03 8.17E+04 2.79E+02 7.82E+02 1.14E+03 1.31E+03 1.29E+03 1.13E+03 8.92E+02 6.45E+02 4.28E+02 2.63E+02 1.49E+02 7.82E+01 3.82E+01 1.73E+01 7.30E+00 2.87E+00 1.05E+00 3.58E-01 1.14E-01 3.37E-02 9.32E-03 2.41E-03 5.80E-04 1.30E-04 2.74E-05 5.37E-06 9.85E-07 1.68E-07 2.69E-08 4.02E-09
  15.00  1.665  3.32E+04 1.55E+04 1.53E+05 4.93E+02 1.39E+03 2.03E+03 2.35E+03 2.34E+03 2.07E+03 1.67E+03 1.23E+03 8.32E+02 5.22E+02 3.04E+02 1.64E+02 8.27E+01 3.88E+01 1.70E+01 6.93E+00 2.65E+00 9.43E-01 3.14E-01 9.79E-02 2.85E-02 7.78E-03 1.98E-03 4.74E-04 1.06E-04 2.22E-05 4.35E-06 7.99E-07 1.37E-07 2.21E-08
  16.00  1.719  6.14E+04 2.81E+04 2.84E+05 8.62E+02 2.43E+03 3.58E+03 4.17E+03 4.18E+03 3.75E+03 3.06E+03 2.29E+03 1.58E+03 1.02E+03 6.05E+02 3.36E+02 1.74E+02 8.41E+01 3.80E+01 1.61E+01 6.37E+00 2.36E+00 8.21E-01 2.67E-01 8.17E-02 2.34E-02 6.29E-03 1.59E-03 3.75E-04 8.33E-05 1.74E-05 3.40E-06 6.24E-07 1.08E-07
  17.00  1.772  1.12E+05 5.04E+04 5.17E+05 1.49E+03 4.22E+03 6.24E+03 7.31E+03 7.40E+03 6.71E+03 5.54E+03 4.21E+03 2.96E+03 1.93E+03 1.18E+03 6.69E+02 3.55E+02 1.77E+02 8.23E+01 3.59E+01 1.47E+01 5.66E+00 2.05E+00 6.94E-01 2.21E-01 6.62E-02 1.86E-02 4.94E-03 1.23E-03 2.88E-04 6.34E-05 1.31E-05 2.56E-06 4.69E-07
  18.00  1.824  2.01E+05 8.93E+04 9.32E+05 2.56E+03 7.25E+03 1.08E+04 1.27E+04 1.29E+04 1.18E+04 9.90E+03 7.62E+03 5.44E+03 3.62E+03 2.25E+03 1.30E+03 7.08E+02 3.61E+02 1.73E+02 7.77E+01 3.28E+01 1.31E+01 4.88E+00 1.72E+00 5.69E-01 1.78E-01 5.22E-02 1.44E-02 3.77E-03 9.25E-04 2.14E-04 4.68E-05 9.63E-06 1.87E-06
  19.00  1.874  3.58E+05 1.56E+05 1.66E+06 4.35E+03 1.23E+04 1.84E+04 2.18E+04 2.24E+04 2.07E+04 1.74E+04 1.36E+04 9.85E+03 6.66E+03 4.20E+03 2.49E+03 1.38E+03 7.21E+02 3.54E+02 1.63E+02 7.10E+01 2.91E+01 1.12E+01 4.08E+00 1.40E+00 4.54E-01 1.39E-01 4.00E-02 1.09E-02 2.79E-03 6.78E-04 1.55E-04 3.36E-05 6.85E-06
  20.00  1.922  6.29E+05 2.71E+05 2.91E+06 7.31E+03 2.08E+04 3.11E+04 3.70E+04 3.82E+04 3.56E+04 3.04E+04 2.40E+04 1.76E+04 1.20E+04 7.73E+03 4.66E+03 2.64E+03 1.41E+03 7.06E+02 3.34E+02 1.49E+02 6.27E+01 2.49E+01 9.36E+00 3.32E+00 1.11E+00 3.52E-01 1.05E-01 2.98E-02 7.98E-03 2.02E-03 4.83E-04 1.09E-04 2.34E-05
  22.50  2.039  3.19E+06 1.02E+06 1.14E+07 2.59E+04 7.37E+04 1.11E+05 1.33E+05 1.40E+05 1.33E+05 1.16E+05 9.35E+04 7.06E+04 5.00E+04 3.32E+04 2.08E+04 1.23E+04 6.86E+03 3.62E+03 1.81E+03 8.53E+02 3.82E+02 1.62E+02 6.49E+01 2.47E+01 8.92E+00 3.05E+00 9.92E-01 3.05E-01 8.93E-02 2.48E-02 6.52E-03 1.63E-03 3.87E-04
  25.00  2.149  1.23E+07 3.65E+06 4.19E+07 8.68E+04 2.48E+05 3.76E+05 4.56E+05 4.84E+05 4.66E+05 4.14E+05 3.41E+05 2.64E+05 1.92E+05 1.31E+05 8.50E+04 5.21E+04 3.02E+04 1.66E+04 8.66E+03 4.29E+03 2.02E+03 9.01E+02 3.83E+02 1.55E+02 5.94E+01 2.17E+01 7.54E+00 2.50E+00 7.86E-01 2.35E-01 6.72E-02 1.82E-02 4.72E-03
  30.00  2.354  2.12E+08 3.99E+07 4.82E+08 8.56E+05 2.46E+06 3.76E+06 4.63E+06 5.01E+06 4.93E+06 4.50E+06 3.84E+06 3.08E+06 2.33E+06 1.68E+06 1.14E+06 7.40E+05 4.56E+05 2.68E+05 1.50E+05 8.00E+04 4.07E+04 1.98E+04 9.20E+03 4.08E+03 1.73E+03 7.00E+02 2.71E+02 1.00E+02 3.55E+01 1.20E+01 3.89E+00 1.21E+00 3.57E-01
  40.00  2.719  2.95E+10 2.93E+09 3.83E+10 5.36E+07 1.55E+08 2.40E+08 3.01E+08 3.34E+08 3.40E+08 3.22E+08 2.87E+08 2.42E+08 1.95E+08 1.49E+08 1.09E+08 7.61E+07 5.10E+07 3.27E+07 2.02E+07 1.19E+07 6.77E+06 3.69E+06 1.94E+06 9.75E+05 4.73E+05 2.20E+05 9.88E+04 4.26E+04 1.77E+04 7.07E+03 2.72E+03 1.01E+03 3.59E+02
  50.00  3.039  1.35E+12 1.32E+11 1.84E+12 2.14E+09 6.22E+09 9.71E+09 1.23E+10 1.39E+10 1.45E+10 1.41E+10 1.29E+10 1.13E+10 9.41E+09 7.51E+09 5.75E+09 4.23E+09 2.99E+09 2.04E+09 1.34E+09 8.46E+08 5.16E+08 3.04E+08 1.72E+08 9.45E+07 5.01E+07 2.56E+07 1.27E+07 6.04E+06 2.79E+06 1.24E+06 5.36E+05 2.23E+05 8.99E+04
  60.00  3.329  4.31E+13 4.17E+12 6.09E+13 6.14E+10 1.79E+11 2.81E+11 3.60E+11 4.11E+11 4.34E+11 4.29E+11 4.03E+11 3.61E+11 3.09E+11 2.54E+11 2.01E+11 1.54E+11 1.13E+11 8.03E+10 5.52E+10 3.66E+10 2.35E+10 1.46E+10 8.80E+09 5.13E+09 2.90E+09 1.58E+09 8.39E+08 4.31E+08 2.15E+08 1.04E+08 4.85E+07 2.20E+07 9.67E+06
  70.00  3.596  1.05E+15 1.00E+14 1.53E+15 1.36E+12 3.97E+12 6.26E+12 8.08E+12 9.32E+12 9.94E+12 9.98E+12 9.52E+12 8.68E+12 7.60E+12 6.40E+12 5.20E+12 4.08E+12 3.09E+12 2.27E+12 1.62E+12 1.11E+12 7.44E+11 4.82E+11 3.03E+11 1.85E+11 1.10E+11 6.31E+10 3.53E+10 1.92E+10 1.01E+10 5.19E+09 2.58E+09 1.25E+09 5.89E+08
  80.00  3.845  2.05E+16 1.94E+15 3.06E+16 2.45E+13 7.17E+13 1.14E+14 1.47E+14 1.71E+14 1.84E+14 1.87E+14 1.81E+14 1.67E+14 1.49E+14 1.28E+14 1.06E+14 8.50E+13 6.60E+13 4.97E+13 3.64E+13 2.58E+13 1.78E+13 1.19E+13 7.77E+12 4.92E+12 3.03E+12 1.82E+12 1.06E+12 6.02E+11 3.33E+11 1.79E+11 9.37E+10 4.78E+10 2.37E+10
  90.00  4.078  3.35E+17 3.15E+16 5.11E+17 3.73E+14 1.09E+15 1.74E+15 2.27E+15 2.65E+15 2.87E+15 2.94E+15 2.87E+15 2.69E+15 2.43E+15 2.12E+15 1.78E+15 1.46E+15 1.15E+15 8.89E+14 6.65E+14 4.83E+14 3.42E+14 2.36E+14 1.58E+14 1.03E+14 6.56E+13 4.07E+13 2.46E+13 1.45E+13 8.30E+12 4.64E+12 2.53E+12 1.35E+12 7.00E+11
 100.00  4.298  4.73E+18 4.39E+17 7.33E+18 4.94E+15 1.45E+16 2.31E+16 3.02E+16 3.55E+16 3.87E+16 4.00E+16 3.94E+16 3.73E+16 3.40E+16 3.00E+16 2.56E+16 2.13E+16 1.71E+16 1.34E+16 1.02E+16 7.60E+15 5.49E+15 3.87E+15 2.66E+15 1.78E+15 1.16E+15 7.42E+14 4.61E+14 2.80E+14 1.66E+14 9.60E+13 5.42E+13 2.99E+13 1.61E+13
 110.00  4.508  5.88E+19 5.40E+18 9.25E+19 5.78E+16 1.70E+17 2.71E+17 3.56E+17 4.20E+17 4.61E+17 4.79E+17 4.76E+17 4.54E+17 4.18E+17 3.73E+17 3.23E+17 2.71E+17 2.22E+17 1.76E+17 1.37E+17 1.03E+17 7.60E+16 5.46E+16 3.83E+16 2.62E+16 1.75E+16 1.14E+16 7.30E+15 4.55E+15 2.77E+15 1.65E+15 9.58E+14 5.45E+14 3.03E+14
 120.00  4.709  6.54E+20 5.96E+19 1.04E+21 6.09E+17 1.79E+18 2.86E+18 3.77E+18 4.47E+18 4.93E+18 5.15E+18 5.15E+18 4.95E+18 4.60E+18 4.14E+18 3.62E+18 3.08E+18 2.55E+18 2.05E+18 1.61E+18 1.24E+18 9.26E+17 6.77E+17 4.83E+17 3.37E+17 2.30E+17 1.53E+17 9.99E+16 6.36E+16 3.97E+16 2.42E+16 1.44E+16 8.43E+15 4.81E+15
 130.00  4.901  6.62E+21 5.96E+20 1.07E+22 5.85E+18 1.72E+19 2.76E+19 3.64E+19 4.33E+19 4.79E+19 5.03E+19 5.06E+19 4.90E+19 4.59E+19 4.17E+19 3.67E+19 3.15E+19 2.64E+19 2.15E+19 1.71E+19 1.33E+19 1.01E+19 7.49E+18 5.43E+18 3.86E+18 2.67E+18 1.82E+18 1.21E+18 7.84E+17 4.99E+17 3.11E+17 1.90E+17 1.13E+17 6.64E+16
 140.00  5.086  6.15E+22 5.48E+21 9.98E+22 5.18E+19 1.52E+20 2.45E+20 3.24E+20 3.86E+20 4.29E+20 4.52E+20 4.57E+20 4.45E+20 4.20E+20 3.84E+20 3.41E+20 2.96E+20 2.50E+20 2.06E+20 1.66E+20 1.30E+20 1.00E+20 7.52E+19 5.53E+19 3.98E+19 2.81E+19 1.94E+19 1.31E+19 8.66E+18 5.61E+18 3.57E+18 2.22E+18 1.35E+18 8.09E+17
 150.00  5.264  5.29E+23 4.67E+22 8.65E+23 4.26E+20 1.25E+21 2.02E+21 2.67E+21 3.19E+21 3.56E+21 3.77E+21 3.83E+21 3.75E+21 3.55E+21 3.27E+21 2.93E+21 2.56E+21 2.18E+21 1.81E+21 1.47E+21 1.17E+21 9.10E+20 6.92E+20 5.16E+20 3.76E+20 2.69E+20 1.88E+20 1.29E+20 8.68E+19 5.72E+19 3.70E+19 2.34E+19 1.45E+19 8.86E+18
 160.00  5.437  4.24E+24 3.71E+23 6.99E+24 3.28E+21 9.65E+21 1.55E+22 2.06E+22 2.47E+22 2.76E+22 2.94E+22 2.99E+22 2.95E+22 2.81E+22 2.60E+22 2.35E+22 2.06E+22 1.77E+22 1.48E+22 1.22E+22 9.76E+21 7.67E+21 5.90E+21 4.44E+21 3.28E+21 2.37E+21 1.68E+21 1.17E+21 7.98E+20 5.34E+20 3.50E+20 2.26E+20 1.42E+20 8.83E+19
 170.00  5.604  3.20E+25 2.77E+24 5.30E+25 2.37E+22 6.99E+22 1.13E+23 1.50E+23 1.80E+23 2.02E+23 2.15E+23 2.20E+23 2.18E+23 2.08E+23 1.94E+23 1.76E+23 1.56E+23 1.35E+23 1.14E+23 9.40E+22 7.61E+22 6.03E+22 4.68E+22 3.56E+22 2.66E+22 1.95E+22 1.40E+22 9.83E+21 6.80E+21 4.61E+21 3.07E+21 2.00E+21 1.28E+21 8.09E+20
